vehicle_id,title,make,model,year,link,image_link,exterior_color,additional_image_link,trim,offer_disclaimer,offer_disclaimer_url,offer_type,term_length,offer_term_qualifier,amount_price,amount_percentage,amount_qualifier,downpayment,downpayment_qualifier,emission_disclaimer,emission_disclaimer_url,emission_overlay_disclaimer,emission_image_link
DS-MODEL-3053029280248256404-3721678814556333247,N°4 DS PERFORMANCE Line,DS Automobiles,N°4 DS PERFORMANCE Line,2025,https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1FRHPY7S1051445.jpg,White Pearl,,Standard,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 160700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1453 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,LEASE,24,months,1453 PLN,,per month,16070 PLN,due at signing,,,,
DS-MODEL-3053029280248256404-2333789274654271119,N°4 DS PERFORMANCE Line,DS Automobiles,N°4 DS PERFORMANCE Line,2025,https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1FRHPY6S1053591.jpg,Cashmere,,Standard,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 160700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1453 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,LEASE,24,months,1453 PLN,,per month,16070 PLN,due at signing,,,,
DS-MODEL-3053029280248256404-3460394887291370869,N°4 DS PERFORMANCE Line,DS Automobiles,N°4 DS PERFORMANCE Line,2025,https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1FRHPY7S1053583.jpg,Crystal Pearl,,Standard,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 160700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1453 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,LEASE,24,months,1453 PLN,,per month,16070 PLN,due at signing,,,,
DS-MODEL-3053029280248256404-2346814430980646373,N°4 DS PERFORMANCE Line,DS Automobiles,N°4 DS PERFORMANCE Line,2025,https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1FRHPY7T1004224.jpg,Night Flight,,Standard,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 160700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1453 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,LEASE,24,months,1453 PLN,,per month,16070 PLN,due at signing,,,,
DS-MODEL-3053029280248256404-1880033613758887189,N°4 DS PERFORMANCE Line,DS Automobiles,N°4 DS PERFORMANCE Line,2025,https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1FRHPY4S1053606.jpg,Perla Nera Black,,Standard,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 160700 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1453 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/dsn4/kolekcja/dsn4-ds-performance-line.html,LEASE,24,months,1453 PLN,,per month,16070 PLN,due at signing,,,,
DS-MODEL-8146071310251428133-2346814430980646373,DS 3 DS PERFORMANCE Line,DS Automobiles,DS 3,2025,https://www.dsautomobiles.pl/gama/ds-3/kolekcja/ds3-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1URHPY6TW004631.jpg,Night Flight,,Ds Performance Line,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 147900 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1483 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/ds-3/kolekcja/ds3-ds-performance-line.html,LEASE,24,months,1483 PLN,,per month,14790 PLN,due at signing,,,,
DS-MODEL-8146071310251428133-8806459839097123137,DS 3 DS PERFORMANCE Line,DS Automobiles,DS 3,2025,https://www.dsautomobiles.pl/gama/ds-3/kolekcja/ds3-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1URHPY1TW004603.jpg,Cristal Pearl,,Ds Performance Line,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 147900 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1483 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/ds-3/kolekcja/ds3-ds-performance-line.html,LEASE,24,months,1483 PLN,,per month,14790 PLN,due at signing,,,,
DS-MODEL-3841615344923059534-8806459839097123137,DS 7 DS PERFORMANCE Line,DS Automobiles,DS 7,2025,https://www.dsautomobiles.pl/gama/ds-7/kolekcja/ds7-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1J45GB2SY590176.jpg,Cristal Pearl,,Ds Performance Line,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 213800 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1671 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/ds-7/kolekcja/ds7-ds-performance-line.html,LEASE,24,months,1671 PLN,,per month,21380 PLN,due at signing,,,,
DS-MODEL-3841615344923059534-2346814430980646373,DS 7 DS PERFORMANCE Line,DS Automobiles,DS 7,2025,https://www.dsautomobiles.pl/gama/ds-7/kolekcja/ds7-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1JCYHZ3TY512104.jpg,Night Flight,,Ds Performance Line,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 213800 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1671 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/ds-7/kolekcja/ds7-ds-performance-line.html,LEASE,24,months,1671 PLN,,per month,21380 PLN,due at signing,,,,
DS-MODEL-3841615344923059534-1880033613758887189,DS 7 DS PERFORMANCE Line,DS Automobiles,DS 7,2025,https://www.dsautomobiles.pl/gama/ds-7/kolekcja/ds7-ds-performance-line.html,https://raw.githubusercontent.com/Andy11001/-alfa-inventory/master/data/images/VR1J45GBXSY521235.jpg,Perla Nera Black,,Ds Performance Line,"Legal mentions Oferta leasingu Stellantis Financial Services skierowana do przedsiębiorców. Założenia przyjęte do kalkulacji: cena katalogowa brutto 213800 zł, okres leasingu 24 miesięcy i roczny przebieg 10.000 km, wpłata początkowa 15%, miesięczna rata leasingowa netto: 1671 zł. Szczegóły znajdą Państwo u Autoryzowanego Dealera DS Automobiles. Niniejsza informacja nie stanowi oferty w rozumieniu art. 66 Kodeksu cywilnego. Zgoda na udzielenie leasingu jest uzależniona od zdolności kredytowej klienta ustalanej zgodnie z procedurami Leasingodawcy.",https://www.dsautomobiles.pl/gama/ds-7/kolekcja/ds7-ds-performance-line.html,LEASE,24,months,1671 PLN,,per month,21380 PLN,due at signing,,,,
